SSC_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SSC40203,22,40,48,40,35,22,30,50,6,288
SSC40204,11,0,6,3,0,0,3,0,0,27
SSC40205,18,3,16,4,12,4,9,9,0,68
SSC40206,24,3,3,3,3,5,0,3,0,46
SSC40207,5,0,0,0,0,0,0,0,0,6
SSC40208,11,0,0,0,0,0,0,0,0,20
SSC40209,37,7,13,7,13,3,19,27,0,124
SSC40210,170,333,237,240,213,160,88,146,32,1621
SSC40211,325,782,411,382,490,328,158,356,60,3291
SSC40212,19,0,3,0,3,0,0,4,0,27
SSC40213,36,9,9,3,9,0,3,10,0,85
SSC40214,0,0,0,0,0,0,0,0,0,4
SSC40215,7,0,0,0,5,0,3,4,0,26
SSC40216,5,0,0,0,3,0,0,0,0,9
SSC40217,0,0,0,3,0,0,0,3,0,9
SSC40218,8,3,3,4,3,0,0,4,0,29
SSC40219,11,0,5,0,4,3,0,9,0,30
SSC40220,12,6,4,12,11,13,9,20,0,83
SSC40221,11,0,0,0,0,0,0,3,3,18
SSC40222,3,0,0,0,0,0,0,0,0,3
SSC40223,3,0,0,0,0,0,0,0,0,3
SSC40224,11,0,0,0,0,0,0,0,0,18
SSC40225,41,52,31,15,28,8,10,14,0,215
SSC40226,0,0,4,0,0,0,0,4,0,12
SSC40227,5,3,0,0,4,0,3,5,0,25
SSC40228,20,21,19,16,19,11,3,25,3,134
SSC40229,9,6,0,3,0,3,3,0,0,25
SSC40230,23,3,8,3,7,0,0,3,0,49
SSC40231,0,0,0,0,0,3,0,0,0,9
SSC40232,8,0,4,0,4,0,0,3,0,19
SSC40233,3,0,0,6,0,0,0,4,0,16
SSC40234,3,0,0,0,0,0,0,0,0,7
SSC40235,3,0,3,0,3,3,3,7,3,33
SSC40236,101,128,93,134,87,73,68,103,20,808
SSC40237,14,14,15,6,5,9,10,12,0,85
SSC40238,19,4,14,7,4,7,11,30,8,111
SSC40239,0,4,4,0,0,0,0,0,0,14
SSC40240,12,0,0,0,3,0,0,3,0,21
SSC40241,60,84,65,40,58,42,17,21,4,389
SSC40242,9,20,7,9,4,3,4,5,0,62
SSC40243,9,0,0,0,0,0,0,3,0,17
SSC40244,59,48,44,38,37,24,17,31,8,308
SSC40245,4,0,0,0,0,0,0,3,0,15
SSC40246,12,0,0,0,3,0,0,0,0,16
SSC40247,120,195,167,125,168,113,72,93,12,1067
SSC40248,48,73,42,23,51,37,13,22,3,317
SSC40249,10,20,10,5,4,3,3,3,0,64
SSC40250,7,0,0,0,4,0,3,0,0,9
SSC40251,0,0,0,0,0,0,0,0,0,3
SSC40252,4,0,0,0,0,0,0,0,0,3
SSC40253,0,0,0,0,0,0,0,0,0,0
SSC40254,87,134,296,264,171,189,109,273,27,1559
SSC40255,160,298,359,315,246,234,128,270,42,2059
SSC40256,99,308,72,78,104,57,26,75,6,833
SSC40257,186,232,217,164,165,159,101,212,23,1461
SSC40258,142,377,150,140,163,106,34,88,20,1209
SSC40259,148,444,141,151,181,119,37,89,20,1329
SSC40260,48,73,49,27,52,38,19,22,3,338
SSC40261,4,0,3,0,0,0,0,4,0,12
SSC40262,6,0,0,0,0,0,0,0,0,4
SSC40263,10,15,15,25,7,9,12,18,0,107
SSC40264,145,312,255,201,210,134,124,211,27,1621
SSC40265,0,0,0,3,0,0,0,0,0,4
SSC40266,14,4,0,3,6,3,0,0,0,34
SSC40267,93,51,71,37,41,34,35,50,14,429
SSC40268,3,0,3,0,0,0,0,3,0,12
SSC40269,20,5,4,9,8,7,5,11,0,72
SSC40270,9,0,0,0,0,0,0,0,0,19
SSC40271,142,333,188,230,212,153,59,148,19,1477
SSC40272,24,21,24,23,18,13,23,40,3,180
SSC40273,0,0,0,0,0,0,0,0,0,0
SSC40274,17,7,6,0,6,3,0,0,0,44
SSC40275,55,75,59,32,47,33,22,34,5,354
SSC40276,19,0,0,0,0,0,4,3,0,34
SSC40277,69,27,33,23,20,14,16,29,0,227
SSC40278,25,0,3,0,0,0,0,6,0,39
SSC40279,11,0,4,0,0,0,3,3,0,22
SSC40280,81,164,16,27,43,25,4,13,9,374
SSC40281,7,0,0,0,0,3,4,8,0,27
SSC40282,8,0,0,0,0,0,0,0,0,8
SSC40283,0,0,0,0,0,0,0,0,0,3
SSC40284,94,252,78,63,94,63,23,53,12,733
SSC40285,300,588,170,180,240,176,29,99,22,1802
SSC40286,9,3,0,3,0,0,0,0,0,21
SSC40287,6,0,5,4,0,0,0,3,0,16
SSC40288,4,15,16,10,16,9,10,10,4,87
SSC40289,46,47,65,37,58,39,42,42,3,383
SSC40290,19,8,17,9,13,0,7,6,0,70
SSC40291,13,3,0,3,0,0,0,3,0,27
SSC40292,22,0,0,0,5,3,0,0,0,33
SSC40293,89,84,71,123,72,55,55,70,23,643
SSC40294,19,5,8,11,8,6,3,12,0,80
SSC40295,13,0,3,3,4,0,0,0,0,33
SSC40296,0,0,0,0,0,0,0,0,0,0
SSC40297,48,12,13,8,16,8,10,35,5,159
SSC40298,22,5,0,6,4,0,5,12,0,57
SSC40299,22,5,0,0,0,0,3,6,0,41
SSC40300,10,0,0,0,0,0,0,0,0,7
SSC40301,8,10,7,8,9,10,5,9,0,59
SSC40302,59,9,16,7,18,13,15,27,0,163
SSC40303,3,3,12,4,7,5,9,5,0,48
SSC40304,31,20,3,3,13,3,3,18,0,88
SSC40305,14,4,0,0,0,0,3,8,0,32
SSC40306,11,0,0,0,0,0,0,0,0,16
SSC40307,9,0,3,0,0,0,0,7,0,20
SSC40308,6,0,4,0,3,0,0,0,0,16
SSC40309,13,7,8,0,3,0,3,8,0,41
SSC40310,32,53,21,5,23,15,7,9,3,171
SSC40311,297,692,281,264,300,169,42,133,21,2192
SSC40312,15,3,3,0,7,0,0,3,0,28
SSC40313,5,0,0,0,0,0,0,0,0,10
SSC40314,26,6,3,6,7,0,9,12,0,76
SSC40315,50,154,73,84,59,59,32,82,5,597
SSC40316,103,40,71,44,40,35,64,53,9,461
SSC40317,13,3,4,7,0,3,5,5,0,44
SSC40318,13,3,3,0,0,0,0,5,0,23
SSC40319,162,370,95,85,110,74,27,69,14,999
SSC40320,99,268,54,42,64,44,10,35,4,625
SSC40321,217,402,96,133,207,107,17,72,9,1259
SSC40322,394,526,776,719,675,573,524,654,89,4928
SSC40323,17,13,18,5,15,14,4,20,0,103
SSC40324,23,25,10,6,9,5,10,11,3,99
SSC40325,0,4,12,5,3,3,3,9,0,37
SSC40326,77,158,58,62,78,50,27,52,7,572
SSC40327,116,269,210,203,170,168,110,257,30,1535
SSC40328,95,100,81,66,70,47,41,65,5,574
SSC40329,46,48,39,35,24,25,7,18,4,250
SSC40330,27,6,0,0,5,3,0,4,0,51
SSC40331,0,0,0,0,0,0,0,0,0,0
SSC40332,169,430,131,124,213,111,32,81,23,1302
SSC40333,114,62,68,35,60,39,30,53,8,464
SSC40334,10,0,0,0,0,0,3,0,0,13
SSC40335,13,4,0,0,0,3,3,0,0,31
SSC40336,13,4,4,3,5,3,0,5,0,38
SSC40337,4,0,0,0,0,0,0,0,0,5
SSC40338,57,13,21,8,16,7,13,15,3,147
SSC40339,44,28,31,21,26,16,9,24,3,207
SSC40340,8,0,0,0,0,0,0,0,0,6
SSC40341,3,0,0,0,0,0,0,0,0,3
SSC40342,13,5,3,3,7,4,0,5,0,43
SSC40343,0,0,0,0,0,0,0,0,0,3
SSC40344,0,0,0,0,0,0,0,0,0,6
SSC40345,0,0,0,0,0,0,0,0,0,0
SSC40346,24,5,0,3,5,0,0,11,0,44
SSC40347,56,111,69,79,79,80,31,52,13,570
SSC40348,0,0,0,3,3,0,0,4,0,14
SSC40349,7,3,12,0,4,3,0,4,0,33
SSC40350,66,90,193,203,144,148,245,382,47,1517
SSC40351,132,324,166,167,168,128,38,103,15,1238
SSC40352,19,29,23,20,18,12,5,13,3,148
SSC40353,3,0,0,0,0,0,0,0,0,3
SSC40354,3,0,0,0,0,0,0,0,0,3
SSC40355,3,3,7,0,0,3,0,0,0,16
SSC40356,4,0,0,0,0,0,0,0,0,9
SSC40357,17,11,13,8,4,8,3,5,0,75
SSC40358,12,5,3,4,4,8,7,9,0,53
SSC40359,210,470,218,203,288,162,70,144,19,1784
SSC40360,6,0,0,0,0,0,3,0,0,12
SSC40361,39,109,59,57,49,39,32,37,14,434
SSC40362,3,9,4,4,7,0,3,3,3,36
SSC40363,25,35,60,43,44,29,29,53,3,325
SSC40364,8,4,3,0,3,3,7,0,0,31
SSC40365,6,6,3,0,4,3,8,3,0,37
SSC40366,0,0,0,0,0,0,0,0,0,0
SSC40367,119,266,161,195,176,109,50,124,14,1230
SSC40368,9,0,4,3,3,0,6,0,3,34
SSC40369,5,0,14,3,15,3,19,19,0,88
SSC40370,21,3,27,29,19,17,28,26,0,167
SSC40371,4,4,7,11,7,0,4,3,0,42
SSC40372,13,4,0,0,0,4,3,3,0,32
SSC40373,19,34,29,29,29,19,19,28,11,209
SSC40374,5,0,0,0,0,0,0,0,0,6
SSC40375,162,342,52,83,88,66,10,33,8,842
SSC40376,18,3,8,0,3,0,0,10,0,42
SSC40377,9,5,13,4,9,0,3,13,0,60
SSC40378,0,0,0,0,0,0,0,0,0,10
SSC40379,8,13,12,3,7,8,8,17,0,67
SSC40380,72,154,29,32,58,26,3,14,3,391
SSC40381,0,0,0,0,0,5,0,0,0,8
SSC40382,0,0,4,0,3,3,3,0,0,10
SSC40383,24,6,10,5,5,4,5,10,3,87
SSC40384,77,136,102,68,76,40,30,62,10,596
SSC40385,200,473,176,171,164,123,36,99,22,1464
SSC40386,34,31,24,13,13,7,8,41,0,177
SSC40387,24,6,7,8,3,0,7,13,0,70
SSC40388,19,15,45,123,3,0,21,0,3,237
SSC40389,0,0,0,0,0,0,0,0,0,0
SSC40390,28,22,23,15,14,3,9,23,3,134
SSC40391,187,463,219,279,277,210,87,208,32,1956
SSC40392,19,7,12,6,13,0,8,8,0,66
SSC40393,19,37,36,35,35,35,31,63,3,304
SSC40394,76,101,205,201,139,144,200,304,21,1386
SSC40395,55,99,160,172,135,148,168,217,18,1175
SSC40396,23,40,81,68,51,51,97,127,22,566
SSC40397,53,37,110,147,92,92,112,202,15,854
SSC40398,63,74,139,180,94,92,116,227,19,1002
SSC40399,23,49,80,85,38,57,84,176,11,609
SSC40400,55,76,146,144,94,84,119,218,23,955
SSC40401,27,29,25,20,16,3,9,22,0,156
SSC40402,11,3,4,3,4,6,0,5,0,37
SSC40403,12,7,3,6,4,4,0,11,0,56
SSC40404,11,0,4,0,3,0,0,6,0,28
SSC40405,11,7,3,0,3,0,3,6,0,38
SSC40406,117,194,163,198,157,158,70,151,11,1220
SSC40407,213,456,335,251,280,189,150,306,44,2223
SSC40408,101,240,29,53,80,50,7,20,5,583
SSC40409,6,0,3,0,0,0,3,4,0,25
SSC40410,0,0,0,0,0,0,0,3,0,3
SSC40411,65,143,118,99,105,65,53,57,15,722
SSC40412,7,3,4,3,4,3,0,0,0,24
SSC40413,63,22,46,29,31,33,42,67,3,335
SSC40414,0,0,0,3,0,0,0,0,0,6
SSC40415,0,0,0,0,0,0,0,0,0,3
SSC40416,107,254,64,80,76,59,12,50,13,718
SSC40417,67,88,132,116,112,93,74,139,19,831
SSC40418,67,92,161,128,120,85,69,118,14,840
SSC40419,221,330,258,282,262,214,128,205,38,1942
SSC40420,15,31,21,18,16,8,11,18,4,139
SSC40421,5,3,0,0,0,0,0,5,0,13
SSC40422,49,153,41,71,71,41,10,53,9,491
SSC40423,47,139,60,90,86,48,17,45,8,547
SSC40424,200,306,316,221,292,177,101,141,20,1778
SSC40425,3,0,0,0,3,0,0,0,0,9
SSC40426,3,0,4,0,3,0,3,6,0,25
SSC40427,27,8,17,11,10,3,9,25,4,120
SSC40428,90,271,88,109,134,88,26,71,17,877
SSC40429,129,266,193,194,175,166,131,336,28,1614
SSC40430,23,5,3,3,0,0,0,5,0,42
SSC40431,252,480,390,306,444,301,173,355,49,2749
SSC40432,32,21,25,17,13,10,8,18,0,137
SSC40433,86,184,78,91,89,61,27,59,0,670
SSC40434,3,7,3,6,3,0,4,5,0,29
SSC40435,3,0,3,0,3,0,0,3,0,19
SSC40436,0,0,8,8,0,0,4,6,0,25
SSC40437,75,124,33,35,65,46,3,12,0,394
SSC40438,0,0,0,0,0,0,0,0,0,3
SSC40439,654,1253,704,614,823,517,161,326,66,5122
SSC40440,16,18,10,10,15,12,5,11,4,90
SSC40441,33,19,16,8,16,9,8,24,0,129
SSC40442,0,0,0,0,0,0,0,0,0,0
SSC40443,244,469,329,244,402,271,114,196,39,2309
SSC40444,25,0,3,3,3,0,0,7,0,46
SSC40445,4,0,0,0,0,0,0,3,0,13
SSC40446,15,9,3,4,8,3,3,3,0,45
SSC40447,38,25,12,10,5,3,3,9,0,118
SSC40448,100,264,58,82,96,63,13,42,16,737
SSC40449,41,38,29,20,30,16,12,13,3,206
SSC40450,0,0,0,0,0,0,0,0,0,3
SSC40451,19,0,0,0,0,0,0,4,0,20
SSC40452,0,0,0,0,0,0,0,0,0,4
SSC40453,6,3,0,0,5,0,0,0,0,15
SSC40454,18,3,0,0,0,0,0,3,0,27
SSC40455,0,0,0,0,0,0,0,0,0,0
SSC40456,20,0,3,7,3,0,3,14,3,46
SSC40457,4,0,0,0,0,0,0,3,0,3
SSC40458,0,0,0,0,0,0,0,0,0,4
SSC40459,0,0,0,0,0,0,0,0,0,3
SSC40460,127,103,167,137,128,87,126,157,15,1044
SSC40461,66,168,24,37,60,38,6,32,5,436
SSC40462,148,287,144,146,171,138,51,96,14,1190
SSC40463,377,642,352,305,510,334,135,217,43,2904
SSC40464,257,748,137,181,218,141,33,86,15,1810
SSC40465,40,0,3,6,0,0,5,11,0,71
SSC40466,4,0,0,0,0,0,0,0,0,12
SSC40467,3,0,0,0,0,0,0,6,0,8
SSC40468,0,0,0,0,0,0,0,0,0,0
SSC40469,15,47,35,18,24,21,13,34,5,208
SSC40470,62,65,93,52,65,45,40,52,8,475
SSC40471,259,417,339,311,333,256,156,279,41,2392
SSC40472,0,0,0,0,0,0,0,0,0,0
SSC40473,16,7,10,3,3,0,4,10,3,54
SSC40474,111,175,180,143,139,107,91,131,21,1107
SSC40475,24,35,53,43,36,42,41,49,9,322
SSC40476,9,11,5,3,4,3,3,11,0,45
SSC40477,21,5,3,6,3,3,3,9,0,59
SSC40478,17,26,33,37,21,23,23,44,0,229
SSC40479,19,3,3,5,3,0,0,9,0,55
SSC40480,4,0,0,0,0,0,0,0,0,3
SSC40481,3,0,0,3,0,0,0,0,0,7
SSC40482,11,0,0,3,4,0,0,5,0,26
SSC40483,0,0,0,0,0,0,0,4,0,3
SSC40484,0,0,0,0,0,0,0,0,0,3
SSC40485,8,11,67,5,4,3,17,19,0,137
SSC40486,5,0,6,0,3,3,0,0,0,23
SSC40487,132,282,42,67,81,43,8,37,11,702
SSC40488,0,0,0,0,0,0,3,3,0,11
SSC40489,12,13,8,6,11,0,4,3,0,55
SSC40490,108,272,193,195,214,133,86,205,30,1435
SSC40491,6,6,10,3,7,0,3,11,0,42
SSC40492,55,37,25,32,17,21,39,43,7,274
SSC40493,195,414,164,190,203,140,57,121,24,1504
SSC40494,19,59,52,45,44,30,24,24,3,295
SSC40495,145,333,57,87,92,73,9,28,9,842
SSC40496,129,342,100,104,118,72,27,45,6,941
SSC40497,23,23,25,23,24,17,28,28,0,189
SSC40498,56,42,46,24,33,32,39,32,3,306
SSC40499,0,0,0,0,0,0,0,0,0,0
SSC40500,265,400,139,168,190,142,40,73,33,1453
SSC40501,291,532,207,262,310,205,52,139,18,2027
SSC40502,498,832,419,395,477,300,94,196,37,3258
SSC40503,171,332,103,135,162,90,20,45,15,1087
SSC40504,353,649,309,330,436,268,77,142,44,2606
SSC40505,21,4,3,3,4,3,0,5,0,51
SSC40506,96,311,62,91,127,79,16,58,18,866
SSC40507,159,337,52,80,108,75,16,47,6,884
SSC40508,13,13,26,14,21,25,8,18,7,147
SSC40509,78,41,72,46,54,39,41,78,11,462
SSC40510,85,187,81,77,104,71,27,52,14,709
SSC40511,709,1048,631,594,922,577,207,368,69,5125
SSC40512,22,16,17,5,13,8,8,31,0,117
SSC40513,5,7,0,0,3,0,0,5,0,27
SSC40514,3,0,0,3,0,0,0,0,0,7
SSC40515,241,613,119,140,171,128,28,74,13,1526
SSC40516,66,76,94,87,50,64,25,79,12,557
SSC40517,45,82,128,114,86,69,42,78,12,643
SSC40518,39,43,52,49,31,37,15,39,4,305
SSC40519,46,50,38,52,22,30,25,32,3,301
SSC40520,8,3,0,0,3,0,0,0,0,18
SSC40521,30,20,22,12,17,18,8,14,0,140
SSC40522,6,0,3,3,3,0,0,0,0,15
SSC40523,10,0,7,0,3,0,4,0,0,33
SSC40524,383,686,294,340,390,238,104,183,42,2661
SSC40525,7,5,6,3,14,10,9,16,0,67
SSC40526,14,9,8,0,3,0,0,6,0,38
SSC40527,9,0,0,3,3,0,0,6,0,25
SSC40528,118,282,148,167,178,110,77,160,22,1263
SSC40529,38,80,16,11,32,29,14,3,3,232
SSC40530,91,73,92,58,64,46,43,77,8,560
SSC40531,8,0,0,3,0,0,0,13,0,23
SSC40532,573,848,711,562,851,550,242,368,71,4773
SSC40533,241,315,299,223,353,244,133,156,40,2009
SSC40534,19,4,0,3,4,0,0,4,0,31
SSC40535,4,0,0,0,0,0,0,4,0,8
SSC40536,57,71,69,45,50,28,26,31,7,381
SSC40537,12,10,8,0,3,0,0,10,0,41
SSC40538,109,150,296,247,218,186,131,222,23,1583
SSC40539,62,89,202,205,121,140,111,207,21,1159
SSC40540,12,0,0,0,3,0,0,0,0,16
SSC40541,23,99,7,29,29,18,3,13,3,224
SSC40542,186,278,165,137,142,130,30,80,6,1160
SSC40543,32,3,10,0,13,5,0,12,0,79
SSC40544,24,4,3,3,8,8,6,18,0,73
SSC40545,0,0,0,0,0,0,0,0,0,3
SSC40546,0,0,0,0,0,0,0,0,0,0
SSC40547,30,7,6,0,3,3,3,7,0,66
SSC40548,667,1391,1006,763,1039,687,298,481,99,6431
SSC40549,0,0,0,0,0,0,0,0,0,0
SSC40550,14,5,3,0,3,5,3,13,0,40
SSC40551,0,3,0,0,0,0,0,0,0,8
SSC40552,48,24,47,22,23,18,33,58,4,275
SSC40553,0,0,3,0,0,3,0,0,0,8
SSC40554,13,5,0,0,3,3,3,0,0,22
SSC40555,62,183,90,97,92,55,34,78,9,688
SSC40556,9,3,3,0,0,4,3,6,0,24
SSC40557,3,0,0,0,0,0,3,0,0,10
SSC40558,580,963,929,722,941,591,262,447,83,5515
SSC40559,12,8,5,9,5,4,3,4,0,47
SSC40560,0,0,0,0,0,0,0,0,0,0
SSC40561,37,45,37,18,20,14,8,19,0,211
SSC40562,13,3,0,0,7,0,0,0,0,22
SSC40563,17,13,8,5,10,3,9,13,0,79
SSC40564,14,3,0,4,3,0,0,3,0,24
SSC40565,12,6,10,5,5,6,7,12,0,67
SSC40566,42,16,16,14,12,9,11,18,3,148
SSC40567,13,8,7,11,6,3,5,14,0,62
SSC40568,161,439,66,98,134,94,19,61,10,1081
SSC40569,210,563,183,172,191,126,37,111,18,1609
SSC40570,5,0,0,6,10,0,0,5,0,29
SSC40571,3,0,0,0,0,3,0,0,0,15
SSC40572,76,120,128,146,90,101,39,118,10,829
SSC40573,132,386,80,84,95,89,13,38,7,912
SSC40574,69,176,50,43,43,45,7,31,5,473
SSC40575,42,86,14,36,36,16,0,9,6,241
SSC40576,179,368,235,207,247,173,100,180,29,1714
SSC40577,41,86,79,59,63,68,31,57,8,485
SSC40578,537,806,347,361,391,306,106,151,27,3028
SSC40579,192,356,168,147,198,125,47,82,11,1327
SSC40580,203,252,209,200,252,176,76,147,28,1541
SSC40581,420,808,463,350,559,325,147,210,42,3322
SSC40582,136,314,62,79,90,80,5,39,11,813
SSC40583,34,29,34,15,19,13,3,14,4,162
