SSC_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC40001,8,12,22,41,113,116,89,188,4,603,56,100,125,175,264,251,118,139,6,1232,22,44,42,77,191,195,116,120,6,825,26,119,113,161,102,71,37,29,16,675,40,92,112,160,282,131,91,57,0,959,22,186,89,91,77,54,32,36,11,585,7,17,19,27,61,29,42,37,3,246,15,147,55,77,59,57,30,28,3,469,3,10,6,3,12,11,3,10,16,73,198,731,579,812,1166,913,554,641,72,5663
SSC40002,30,40,30,55,154,183,115,243,3,856,77,173,143,171,516,468,244,418,11,2215,19,36,59,47,113,91,47,61,6,480,23,212,140,111,87,69,35,47,17,753,29,68,73,85,229,108,60,42,12,702,21,108,87,43,91,42,22,30,5,449,3,3,6,13,24,18,8,16,4,92,7,131,70,41,39,18,4,13,9,339,3,18,4,11,15,6,6,13,21,96,211,790,612,578,1269,999,542,882,91,5972
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,3,0,0,3,0,3,3,14,0,30,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,6,3,4,4,5,7,11,0,46
SSC40005,0,0,0,0,0,4,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,3,0,16
SSC40006,0,3,0,0,18,10,21,20,0,78,9,3,6,19,29,20,5,14,3,116,3,3,0,13,33,28,18,19,4,120,4,15,15,18,24,20,3,0,0,100,3,4,16,22,59,18,4,16,0,147,3,18,15,4,13,10,4,8,0,73,0,3,3,3,27,11,7,13,0,64,7,21,15,16,23,15,3,3,0,98,0,0,3,0,0,0,0,0,3,13,35,70,72,94,224,132,69,102,15,814
SSC40007,3,6,4,9,21,20,14,18,0,86,9,18,13,28,37,48,24,12,0,186,4,5,4,7,24,30,15,31,0,119,4,17,23,31,26,11,12,8,0,135,7,12,18,22,47,9,16,9,0,129,0,21,7,9,12,8,12,4,0,69,0,0,0,14,17,6,7,7,0,54,7,20,10,13,12,18,5,8,0,89,0,0,0,0,4,0,0,0,5,9,34,99,79,128,199,150,92,100,6,888
SSC40008,3,8,13,17,26,54,40,100,4,270,12,71,86,110,87,94,61,113,0,647,0,10,11,19,21,44,20,19,0,133,4,57,27,20,16,11,9,4,0,154,3,35,18,32,33,25,13,11,0,166,3,43,13,17,9,9,9,12,0,105,0,5,0,3,0,9,3,4,0,25,0,20,10,16,9,4,3,7,3,72,3,3,0,0,6,5,3,0,0,17,36,257,185,234,205,245,162,260,7,1590
SSC40009,0,3,3,7,3,8,3,3,0,34,0,11,7,13,13,7,4,4,0,64,0,7,3,3,5,9,3,4,0,40,0,6,3,7,5,0,0,0,4,32,0,3,6,0,13,0,0,4,0,27,0,9,5,0,4,0,3,3,0,20,0,0,0,0,4,0,0,4,0,11,0,7,3,10,3,3,0,3,0,34,0,0,0,0,0,0,0,0,0,0,12,49,27,41,45,36,17,30,4,257
SSC40010,17,19,14,32,76,68,58,93,0,379,35,40,71,90,124,93,36,56,4,545,30,42,50,89,170,156,100,121,11,770,44,112,119,169,88,47,30,35,4,649,22,58,64,73,160,64,35,13,4,492,31,120,70,80,77,47,29,26,8,492,18,14,17,28,72,48,21,65,5,286,20,123,81,76,101,71,36,38,9,542,4,5,4,3,12,4,7,4,20,66,223,527,491,647,871,592,347,448,67,4217
SSC40011,4,0,3,3,0,5,3,11,0,27,0,3,5,0,0,0,0,0,0,14,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,7,0,3,0,4,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,7,4,14,5,17,6,15,0,73
SSC40012,3,6,5,9,20,21,16,32,0,107,9,18,12,21,53,47,12,28,0,203,3,9,10,11,41,23,16,17,0,124,0,26,6,12,24,18,9,5,6,97,9,22,18,23,59,31,15,18,0,186,7,39,13,15,16,8,5,6,4,103,0,8,0,4,10,9,7,4,0,57,3,28,16,9,14,10,3,3,3,83,0,4,0,0,6,0,3,0,0,20,26,156,87,104,240,164,77,110,19,977
SSC40013,0,3,3,0,3,10,0,15,0,31,0,0,0,5,0,4,0,4,0,19,3,0,0,0,8,4,11,8,6,34,5,5,3,3,0,0,0,0,0,23,0,0,3,0,0,3,0,0,0,13,0,3,4,4,0,3,0,0,0,16,0,0,0,4,0,4,0,8,0,17,0,6,9,10,5,3,5,4,0,44,0,0,0,0,0,0,0,0,0,3,10,24,19,26,27,30,18,42,3,204
SSC40014,0,0,0,4,3,0,0,13,0,26,0,0,0,0,0,0,3,5,0,10,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,3,6,12,3,8,7,5,4,16,0,67
SSC40015,0,0,0,0,0,0,3,3,3,8,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,3,10,3,3,38
SSC40016,0,0,0,0,0,5,0,4,0,14,0,0,0,0,0,5,0,0,0,8,0,0,0,0,3,4,3,3,0,8,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,5,5,10,9,9,5,9,0,54
SSC40017,0,0,0,3,0,3,0,3,0,15,0,0,0,13,8,4,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,3,0,7,11,4,0,0,3,20,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,27,18,13,4,4,6,88
SSC40018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40019,0,0,0,0,4,0,0,3,0,16,0,3,0,0,0,0,0,0,0,7,0,0,3,0,0,0,3,0,0,12,0,9,5,0,0,0,0,0,0,16,0,0,3,0,0,0,3,0,0,4,0,4,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,16,8,10,6,5,9,3,0,64
SSC40020,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7
SSC40021,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC40022,0,0,0,0,0,0,3,7,0,9,0,0,0,0,4,3,0,3,0,15,0,0,0,0,0,0,0,4,0,9,0,0,0,0,3,3,0,4,0,15,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,8,0,3,0,4,24,8,10,20,4,70
SSC40023,0,0,0,0,0,0,0,4,0,9,0,0,0,0,3,0,4,0,0,8,0,4,0,6,3,0,3,9,0,26,0,4,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,8,0,0,4,0,0,0,0,3,0,6,0,6,3,4,0,0,4,14,0,26,0,3,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,4,4,21,14,17,11,10,11,33,0,116
SSC40024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC40025,0,0,0,3,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,10,0,26
SSC40026,8,15,5,12,52,41,42,46,0,229,20,20,19,39,67,47,21,31,4,259,12,17,18,44,155,123,59,51,6,491,22,57,79,114,88,47,35,42,4,487,18,23,29,53,145,67,30,29,0,392,16,100,66,76,71,36,19,16,4,396,12,11,20,47,118,81,39,70,5,405,14,85,69,63,145,81,45,38,12,546,3,3,3,0,12,16,10,10,14,71,127,325,312,456,849,531,293,325,56,3275
SSC40027,0,0,3,0,3,3,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,7,12,0,3,3,4,0,30
SSC40028,0,0,0,0,3,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,4,0,7,0,0,7,0,19
SSC40029,5,13,5,15,16,39,22,56,0,174,10,19,22,21,17,25,23,30,3,161,5,8,11,16,22,23,17,27,3,132,3,21,17,17,11,3,0,8,0,84,3,15,13,8,10,21,13,4,0,94,5,14,15,20,13,6,9,10,0,83,3,0,3,7,15,14,10,11,0,60,7,34,26,32,25,48,15,15,5,198,0,0,0,0,0,0,3,0,3,8,40,128,116,129,120,176,106,150,15,986
SSC40030,0,3,0,3,12,4,3,5,0,35,3,6,9,15,34,12,7,3,0,82,6,0,6,4,16,20,7,5,3,73,0,19,20,23,20,8,3,0,0,94,3,4,0,4,16,7,0,4,0,50,0,11,5,9,12,4,0,0,0,46,3,0,0,8,20,5,3,7,0,50,0,17,7,16,24,9,5,4,4,83,0,0,0,4,7,0,0,0,3,13,21,65,52,76,165,71,34,40,9,528
SSC40031,3,3,4,17,37,44,30,62,0,198,8,8,26,22,29,26,14,19,0,158,7,15,13,24,66,62,35,53,4,279,9,26,21,22,24,15,8,6,3,131,4,21,25,62,64,33,16,13,3,236,4,42,19,20,23,10,14,12,0,136,8,3,9,16,31,19,18,34,3,147,3,41,22,22,27,21,11,19,0,172,3,0,0,0,5,7,0,0,9,28,51,172,129,199,297,239,132,217,27,1468
SSC40032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,14
SSC40033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SSC40035,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,0,14
SSC40036,0,0,0,0,0,0,0,13,0,15,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,4,0,13,0,38
SSC40037,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6
SSC40038,0,3,3,8,0,3,6,19,0,45,0,7,3,6,8,9,4,5,0,44,3,3,0,9,6,13,6,17,0,51,0,10,4,8,4,8,0,6,0,49,4,5,6,4,5,3,0,4,0,26,0,11,7,5,3,0,7,4,0,35,0,0,3,0,6,7,12,11,0,49,4,12,7,11,3,10,5,3,0,58,0,0,0,0,0,0,0,0,0,6,15,51,36,53,39,44,38,69,4,360
SSC40039,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,3,5,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,12,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,4,4,3,5,0,5,9,20,0,50
SSC40040,0,0,5,0,5,5,6,17,0,34,5,7,5,7,9,5,4,9,0,50,0,0,0,3,0,9,0,5,0,22,0,3,0,5,3,0,0,0,0,16,0,6,0,3,7,4,3,0,0,22,0,4,3,3,0,0,0,0,0,16,0,4,0,0,3,0,0,3,0,9,0,8,0,0,10,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,5,23,21,25,27,28,14,39,3,200
SSC40041,3,3,0,3,0,7,4,17,5,33,3,3,0,3,0,0,0,3,0,13,4,0,0,3,4,4,8,8,0,29,0,3,0,6,7,0,0,0,0,16,0,3,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,11,0,3,0,0,0,0,0,6,0,12,5,4,3,7,3,13,0,3,0,31,0,0,0,0,0,0,0,0,0,0,8,25,9,24,16,23,10,37,5,155
SSC40042,0,0,0,0,0,5,3,12,0,24,0,0,3,3,0,3,0,4,0,18,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,4,10,7,19,8,20,0,73
SSC40043,0,0,6,4,30,22,21,19,0,113,19,28,31,45,117,74,48,38,3,404,10,16,10,17,48,54,28,26,0,206,12,53,34,53,39,17,15,10,3,245,9,13,20,28,92,17,16,9,0,201,8,35,29,32,25,7,9,9,4,164,3,6,7,8,27,8,13,10,3,85,10,38,30,31,39,11,16,7,0,185,0,0,0,0,3,3,0,4,12,18,67,191,169,232,431,220,161,138,27,1622
SSC40044,0,3,3,0,4,8,3,14,0,36,3,0,0,0,6,0,3,3,0,21,4,0,0,0,7,0,3,3,0,21,0,3,4,6,0,0,0,0,0,20,0,0,4,0,5,0,0,3,0,15,0,3,0,0,3,0,0,0,0,10,0,0,0,0,0,3,3,0,0,5,0,3,0,0,0,3,0,3,0,16,0,0,0,0,0,0,0,0,0,0,9,18,12,12,27,17,11,32,0,144
SSC40045,0,0,3,3,13,11,5,9,0,40,4,10,12,10,33,24,10,24,0,125,3,4,3,0,14,13,5,5,0,49,0,14,6,4,13,8,4,3,3,66,7,9,6,10,20,6,6,0,0,71,0,7,9,0,7,3,9,4,0,40,0,3,0,3,3,0,0,3,0,17,0,9,5,4,3,3,3,4,0,39,0,0,0,0,0,0,0,0,4,9,18,56,40,48,111,62,42,59,18,451
SSC40046,0,3,0,4,11,11,3,18,0,49,0,13,4,10,10,7,3,12,0,72,0,4,6,7,6,5,6,7,0,36,0,11,3,0,0,3,0,3,0,24,0,11,5,0,8,3,0,0,0,32,0,4,3,0,0,3,0,3,0,17,3,0,0,0,0,3,0,3,0,12,0,6,0,0,4,0,0,0,0,13,0,0,0,0,3,0,0,0,0,5,10,49,21,26,49,35,22,46,0,267
SSC40047,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,19
SSC40048,18,23,32,35,113,116,76,165,11,592,44,91,129,138,271,203,118,155,4,1146,11,47,34,61,150,154,73,108,10,638,21,135,70,95,70,50,26,19,4,483,30,93,131,126,200,100,42,32,6,761,14,188,77,75,78,48,26,41,8,552,0,8,14,19,62,18,14,20,0,157,14,80,49,60,55,39,17,16,6,332,3,3,5,5,14,7,3,4,16,74,160,668,532,625,1011,733,393,556,66,4743
SSC40049,3,4,3,3,16,14,8,17,0,75,4,11,8,14,35,19,4,6,3,112,0,3,10,12,22,18,8,13,0,102,9,22,24,25,25,11,6,21,0,139,7,3,9,12,30,11,8,3,0,79,5,12,4,10,11,11,3,0,0,60,3,5,8,3,24,7,9,12,3,66,0,29,24,29,47,17,12,11,3,165,0,0,0,3,5,0,0,0,0,11,34,85,84,117,230,116,60,79,12,813
SSC40050,0,3,4,5,6,9,15,19,0,62,3,3,6,6,5,12,8,11,0,53,0,6,3,5,8,3,9,5,0,38,0,9,3,7,4,0,3,0,0,26,4,9,3,7,3,5,3,0,0,30,0,5,4,4,8,0,0,0,0,26,0,0,0,0,3,0,5,3,0,15,3,9,6,5,17,15,0,0,4,63,0,0,0,0,0,0,0,3,0,3,21,47,33,38,49,54,38,34,4,320
SSC40051,0,4,8,3,7,13,7,17,4,61,3,7,14,14,12,25,12,16,3,107,0,5,0,3,3,6,4,7,0,30,0,5,4,6,3,0,0,0,0,17,6,9,9,6,8,7,3,0,3,51,0,8,10,0,3,3,0,0,0,26,0,3,0,0,0,0,0,0,0,6,0,3,6,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,10,10,50,48,33,35,56,26,39,15,311
SSC40052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,15
SSC40053,3,4,3,0,0,5,7,16,0,40,0,3,3,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,10,8,8,5,5,8,21,0,60
SSC40054,0,0,0,0,0,0,0,9,0,13,0,3,0,0,0,7,0,4,0,17,0,0,0,0,3,0,0,3,0,6,0,5,0,3,0,5,0,0,0,11,0,0,0,0,0,0,3,0,0,7,0,5,0,0,0,0,0,3,0,6,0,0,0,0,3,0,0,0,0,8,0,3,3,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,19,4,5,6,11,3,20,0,69
SSC40055,0,0,0,0,3,3,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,8,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,5,3,4,3,3,3,7,0,31
SSC40056,0,3,3,4,0,0,4,11,0,25,0,0,0,3,0,4,3,3,0,10,0,0,0,0,3,0,0,3,0,5,0,0,0,7,0,0,3,0,0,7,0,3,0,0,0,0,3,0,0,10,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,4,3,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,4,12,11,13,11,4,6,20,0,85
SSC40057,0,0,0,0,3,6,0,9,0,21,0,0,0,0,0,4,0,3,0,9,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,8,8,16,3,17,0,57
SSC40058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40059,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
SSC40060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40061,3,6,7,11,6,21,4,52,0,115,0,8,10,16,18,15,16,18,0,102,5,7,6,12,22,29,13,15,3,112,3,22,11,27,4,5,3,0,0,79,3,10,11,14,24,10,3,6,0,91,0,24,12,13,4,10,4,7,0,71,9,0,18,9,16,10,16,26,0,101,8,37,12,16,42,24,4,15,3,149,0,0,0,3,3,0,0,0,5,12,36,112,85,116,142,111,67,139,13,832
SSC40062,0,0,0,0,0,3,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,3,0,12
SSC40063,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
